Company,Date,Weekly Trips,Year Month
Waymo,"Dec 31, 2024",122245.2903,202412
Waymo,"Nov 30, 2024",117513.6667,202411
Waymo,"Oct 31, 2024",102397.3548,202410
Waymo,"Sep 30, 2024",82628.46667,202409
Waymo,"Aug 31, 2024",70502.64516,202408
Waymo,"Jul 31, 2024",56620.29032,202407
Waymo,"Jun 30, 2024",44062.66667,202406
Waymo,"May 31, 2024",32429.87097,202405
Waymo,"Apr 30, 2024",21465.5,202404
Waymo,"Mar 31, 2024",18933.64516,202403
Waymo,"Feb 29, 2024",17917.82759,202402
Waymo,"Jan 31, 2024",17440.83871,202401
Waymo,"Dec 31, 2023",16391.06452,202312
Waymo,"Nov 30, 2023",13276.43333,202311
Waymo,"Oct 31, 2023",12757.6129,202310
Waymo,"Sep 30, 2023",8977.033333,202309
Waymo,"Aug 31, 2023",2849,202308